#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:1290823-1291251|+ -            143 19279                -            138   1.5e-80  265.4  10.2   1   1   7.3e-83   1.7e-80  265.2  10.2     2   138     3   142     2   142 0.97 contig_2_1236 # 1290823 # 1291251 # 1 # ID=5_1236;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
contig_10:6872-7552|+      -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_10_11 # 6872 # 7552 # 1 # ID=2_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10:6872-7552|+      -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_11 # 6872 # 7552 # 1 # ID=2_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_8:5737-6417|-       -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_8_8 # 5737 # 6417 # -1 # ID=10_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_8:5737-6417|-       -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_8_8 # 5737 # 6417 # -1 # ID=10_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10:1439-2119|+      -            227 19279                -            138      0.03   11.8   2.2   1   2   0.00051      0.12    9.8   0.4    36    69    23    57     3    92 0.85 contig_10_3 # 1439 # 2119 # 1 # ID=2_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_10:1439-2119|+      -            227 19279                -            138      0.03   11.8   2.2   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_3 # 1439 # 2119 # 1 # ID=2_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19279at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:14:05 2026
# [ok]
