#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1999378-1999950|+ -            191 8319                 -            236  8.9e-121  399.2   0.1   1   1  6.3e-123  9.9e-121  399.0   0.1    49   236     1   190     1   190 0.98 tig00000001_1919 # 1999378 # 1999950 # 1 # ID=1_1919;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.435
tig00000001:2375308-2375865|- -            186 8319                 -            236   2.6e-25   86.7   0.6   1   1   2.8e-27   4.4e-25   86.0   0.6    45   229     4   181     1   184 0.87 tig00000001_2307 # 2375308 # 2375865 # -1 # ID=1_2307;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.349
tig00000001:1999235-1999357|+ -             41 8319                 -            236   2.4e-23   80.2   2.1   1   1   1.7e-25   2.6e-23   80.1   2.1     1    40     1    40     1    40 0.99 tig00000001_1918 # 1999235 # 1999357 # 1 # ID=1_1918;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.325
tig00000001:2601055-2601771|+ -            239 8319                 -            236   1.5e-08   31.8   0.1   1   1   1.2e-10   1.9e-08   31.5   0.1     2   134     4   136     3   184 0.77 tig00000001_2520 # 2601055 # 2601771 # 1 # ID=1_2520;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.367
tig00000001:2566593-2568158|+ -            522 8319                 -            236   5.7e-07   26.7   0.0   1   1   7.7e-09   1.2e-06   25.6   0.0    46   142    50   147     3   165 0.79 tig00000001_2487 # 2566593 # 2568158 # 1 # ID=1_2487;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
tig00000001:342126-343571|-   -            482 8319                 -            236     8e-06   22.9   0.5   1   2   1.1e-07   1.7e-05   21.9   0.0    32   132    36   134     3   201 0.82 tig00000001_341 # 342126 # 343571 # -1 # ID=1_341;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.361
tig00000001:342126-343571|-   -            482 8319                 -            236     8e-06   22.9   0.5   2   2       2.2   3.5e+02   -2.1   0.1   107   159   392   445   387   451 0.65 tig00000001_341 # 342126 # 343571 # -1 # ID=1_341;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.361
tig00000001:93597-94229|-     -            211 8319                 -            236   0.00018   18.5   0.4   1   1   1.5e-06   0.00024   18.1   0.4     2   127     3   128     2   181 0.78 tig00000001_84 # 93597 # 94229 # -1 # ID=1_84;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.382
tig00000001:1041665-1042393|- -            243 8319                 -            236   0.00044   17.2   0.9   1   2   1.8e-05    0.0028   14.6   0.1    31   103    39   113     9   163 0.88 tig00000001_981 # 1041665 # 1042393 # -1 # ID=1_981;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
tig00000001:1041665-1042393|- -            243 8319                 -            236   0.00044   17.2   0.9   2   2       0.2        31    1.3   0.0   130   155   200   226   175   237 0.75 tig00000001_981 # 1041665 # 1042393 # -1 # ID=1_981;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
tig00000001:2209193-2209771|- -            193 8319                 -            236    0.0013   15.7   0.0   1   1   9.4e-06    0.0015   15.5   0.0     3   121     5   125     3   154 0.71 tig00000001_2132 # 2209193 # 2209771 # -1 # ID=1_2132;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.382
tig00000001:1194309-1195049|- -            247 8319                 -            236    0.0022   14.9   0.1   1   1   2.7e-05    0.0042   14.0   0.1     4    93     5    97     2   132 0.87 tig00000001_1120 # 1194309 # 1195049 # -1 # ID=1_1120;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.336
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/8319at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/8319at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/8319at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:10:33 2026
# [ok]
