#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1379184-1381982|+ -            933 30823                -            882  2.2e-188  625.4   8.8   1   1  2.1e-190  1.3e-187  622.8   8.8     9   754    24   815    18   845 0.87 tig00000001_1302 # 1379184 # 1381982 # 1 # ID=1_1302;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001:1529222-1531231|+ -            670 30823                -            882   3.1e-27   92.2   0.2   3   3   1.2e-17   7.3e-15   51.3   0.0   491   721   261   498   231   513 0.76 tig00000001_1469 # 1529222 # 1531231 # 1 # ID=1_1469;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001:468590-470002|-   -            471 30823                -            882   3.8e-11   39.0   2.5   1   2   0.00021      0.13    7.4   0.1    26    70    19    62     6    68 0.83 tig00000001_438 # 468590 # 470002 # -1 # ID=1_438;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:468590-470002|-   -            471 30823                -            882   3.8e-11   39.0   2.5   2   2   1.1e-11   6.8e-09   31.5   0.4   529   600   257   330   240   385 0.75 tig00000001_438 # 468590 # 470002 # -1 # ID=1_438;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/30823at2157.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/auto_lineage/run_archaea_odb12/hmmer_output/30823at2157.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/30823at2157.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:11:38 2026
# [ok]
